"Symbol","Date","Open","High","Low","Close","Percent Change","Volume"
"BFC","2021-05-12","178","191","178","188","5.03","89558"
"BFC","2021-05-11","180","182","179","179","-0.56","33709"
"BFC","2021-05-10","182","182","174","180","0.56","19292"
"BFC","2021-05-09","189","189","176","179","-0.56","23202"
"BFC","2021-05-06","185","185","173","180","1.69","56798"
"BFC","2021-05-05","185","185","176","177","0.00","23473"
"BFC","2021-05-04","185","185","176","177","0.00","11073"
"BFC","2021-05-03","183","183","175","177","-2.21","33555"
"BFC","2021-05-02","180","182","175","181","1.69","29644"
"BFC","2021-04-29","178","181","172","178","1.71","11552"
"BFC","2021-04-28","183","183","175","175","-2.78","15998"
"BFC","2021-04-27","179","182","174","180","5.26","30716"
"BFC","2021-04-26","181","184","169","171","-5.52","53081"
"BFC","2021-04-25","193","193","173","181","-1.63","38110"
"BFC","2021-04-22","179","185","175","184","4.55","71228"
"BFC","2021-04-21","180","183","176","176","-0.56","20898"
"BFC","2021-04-20","183","183","175","177","-1.67","37975"
"BFC","2021-04-19","192","192","179","180","-3.23","43099"
"BFC","2021-04-18","196","202","182","186","-0.53","90575"
"BFC","2021-04-15","162","187","162","187","10.00","190207"
"BFC","2021-04-13","163","176","163","170","-0.58","41538"
"BFC","2021-04-12","166","177","166","171","0.00","38872"
"BFC","2021-04-08","159","175","159","171","2.40","52828"
"BFC","2021-04-07","157","169","157","167","1.83","20276"
"BFC","2021-04-06","162","164","160","164","2.50","18069"
"BFC","2021-04-05","162","164","160","160","-1.23","13389"
"BFC","2021-04-04","170","170","160","162","0.00","15502"
"BFC","2021-04-01","161","162","158","162","0.00","15916"
"BFC","2021-03-31","170","170","160","162","0.00","5509"
"BFC","2021-03-30","170","170","160","162","0.00","6939"
"BFC","2021-03-29","166","166","160","162","1.89","12507"
"BFC","2021-03-25","162","164","159","159","-1.24","10516"
"BFC","2021-03-24","160","164","160","161","0.00","19520"
"BFC","2021-03-23","157","161","156","161","1.26","12749"
"BFC","2021-03-22","170","170","156","159","-1.85","9415"
"BFC","2021-03-21","165","165","157","162","0.00","7937"
"BFC","2021-03-18","165","165","159","162","-0.61","12383"
"BFC","2021-03-17","158","163","155","163","1.87","15527"
"BFC","2021-03-16","154","160","153","160","1.91","13662"
"BFC","2021-03-15","154","159","151","157","0.00","10545"
"BFC","2021-03-14","158","159","154","157","-2.48","13830"
"BFC","2021-03-10","160","161","158","161","0.62","7195"
"BFC","2021-03-09","158","161","158","160","-0.62","9278"
"BFC","2021-03-08","163","164","158","161","-1.23","7809"
"BFC","2021-03-04","168","168","159","163","1.87","7125"
"BFC","2021-03-03","158","164","154","160","-0.62","19670"
"BFC","2021-03-02","168","168","159","161","-2.42","11489"
"BFC","2021-03-01","162","168","159","165","0.00","13112"
"BFC","2021-02-28","169","170","159","161","-3.59","17951"
"BFC","2021-02-25","170","172","164","167","0.00","17647"
"BFC","2021-02-24","170","176","167","169","1.20","13302"
"BFC","2021-02-23","173","173","163","167","-3.47","36578"
"BFC","2021-02-22","180","180","170","173","0.58","38607"
"BFC","2021-02-21","186","195","172","172","-0.03","83252"
"BFC","2021-02-18","164","178","164","178","0.10","192532"
"BFC","2021-02-17","161","163","157","162","-0.01","11325"
"BFC","2021-02-16","160","165","159","163","0.01","37428"
"BFC","2021-02-15","162","165","160","161","0.01","18813"
"BFC","2021-02-14","160","162","155","159","-0.02","28660"
"BFC","2021-02-11","164","168","160","162","0.00","16197"
"BFC","2021-02-10","162","166","160","162","-0.01","12847"
"BFC","2021-02-09","165","168","162","164","0.01","9478"
"BFC","2021-02-08","168","168","161","162","-0.02","10445"
"BFC","2021-02-07","164","165","159","165","0.02","34514"
"BFC","2021-02-04","167","167","161","161","-0.02","34026"
"BFC","2021-02-03","166","168","162","164","-0.01","24317"
"BFC","2021-02-02","171","176","164","166","-0.02","18871"
"BFC","2021-02-01","155","170","154","170","0.10","28621"
"BFC","2021-01-31","163","168","154","155","-0.05","29951"
"BFC","2021-01-28","167","167","159","163","-0.02","58162"
"BFC","2021-01-27","170","173","167","167","-0.02","25256"
"BFC","2021-01-26","169","181","167","170","-0.02","57892"
"BFC","2021-01-25","183","183","169","173","-0.04","62659"
"BFC","2021-01-24","176","188","167","180","-0.03","107828"
"BFC","2021-01-21","185","193","177","185","0.05","128562"
"BFC","2021-01-20","169","177","160","177","0.10","96861"
"BFC","2021-01-19","158","164","148","161","0.04","66726"
"BFC","2021-01-18","155","158","152","155","0.02","41798"
"BFC","2021-01-17","149","157","145","152","0.03","33578"
"BFC","2021-01-13","145","150","143","147","0.03","39818"
"BFC","2021-01-12","138","145","138","143","0.04","28097"
"BFC","2021-01-11","141","142","137","138","-0.01","6227"
"BFC","2021-01-10","139","140","136","140","0.00","10312"
"BFC","2021-01-07","140","140","136","140","0.00","6819"
"BFC","2021-01-06","140","144","135","140","0.01","13602"
"BFC","2021-01-05","139","141","136","138","-0.01","20116"
"BFC","2021-01-04","133","144","133","140","0.01","23333"
"BFC","2021-01-03","129","141","129","139","0.03","39077"
"BFC","2020-12-31","126","140","126","135","0.02","39543"
"BFC","2020-12-30","122","136","122","132","0.03","14417"
"BFC","2020-12-29","126","131","126","128","0.00","15317"
"BFC","2020-12-28","129","129","125","128","0.00","9258"
"BFC","2020-12-27","130","130","127","129","0.01","2480"
"BFC","2020-12-24","129","131","128","128","-0.02","13259"
"BFC","2020-12-23","132","132","128","130","-0.02","8925"
"BFC","2020-12-22","132","133","127","132","0.02","5976"
"BFC","2020-12-21","132","132","124","130","-0.03","10607"
"BFC","2020-12-20","128","136","128","134","0.05","13265"
"BFC","2020-12-17","132","139","127","128","-0.02","24927"
